Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US05745306-3.zmx
Title:	
Date:	11/7/2025 5:47:21 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       19.110000    -0.071061918 -3.3595856E-004       19.198239       19.104804      0.48906804
       19.320000    -0.071848450 -9.2235213E-004       19.411303       19.314747      0.49990765
       19.530000    -0.072580424 -1.5000244E-003       19.624435       19.524690      0.51086783
       19.740000    -0.073256849 -2.0686122E-003       19.837637       19.734633      0.52194869
       19.950000    -0.073876795 -2.6277564E-003       20.050910       19.944576      0.53315036
       20.160000    -0.074439406 -3.1771054E-003       20.264254       20.154518      0.54447298
       20.370000    -0.074943892 -3.7163108E-003       20.477671       20.364461      0.55591667
       20.580000    -0.075389545 -4.2450310E-003       20.691160       20.574404      0.56748159
       20.790000    -0.075775731 -4.7629310E-003       20.904723       20.784347      0.57916787
       21.000000    -0.076101903 -5.2696828E-003       21.118361       20.994290      0.59097566

Table series: Data for wavelength : 0.656273 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.19436505      0.19436505      0.00000000      0.00000000      0.00000000
      0.21000000      0.19433219      0.19435300      0.20972241      0.20972215  1.2632677E-004
      0.42000000      0.19422285      0.19431686      0.41944558      0.41944429  3.0721058E-004
      0.63000000      0.19403706      0.19425663      0.62917027      0.62916644  6.0864158E-004
      0.84000000      0.19377493      0.19417233      0.83889723      0.83888858  1.0306569E-003
       1.0500000      0.19343655      0.19406398       1.0486272       1.0486107  1.5732448E-003
       1.2600000      0.19302209      0.19393162       1.2583610       1.2583329  2.2363963E-003
       1.4700000      0.19253172      0.19377528       1.4680994       1.4680550  3.0201229E-003
       1.6800000      0.19196567      0.19359502       1.6778430       1.6777772  3.9244257E-003
       1.8900000      0.19132418      0.19339086       1.8875927       1.8874993  4.9493058E-003
       2.1000000      0.19060754      0.19316289       2.0973493       2.0972215  6.0947648E-003
       2.3100000      0.18981608      0.19291116       2.3071134       2.3069436  7.3608042E-003
       2.5200000      0.18895013      0.19263573       2.5168859       2.5166658  8.7474258E-003
       2.7300000      0.18801010      0.19233670       2.7266675       2.7263879     0.010254632
       2.9400000      0.18699640      0.19201415       2.9364589       2.9361100     0.011882424
       3.1500000      0.18590948      0.19166815       3.1462610       3.1458322     0.013630804
       3.3600000      0.18474983      0.19129883       3.3560744       3.3555543     0.015499776
       3.5700000      0.18351797      0.19090627       3.5659000       3.5652765     0.017489343
       3.7800000      0.18221445      0.19049060       3.7757385       3.7749986     0.019599506
       3.9900000      0.18083986      0.19005192       3.9855907       3.9847208     0.021830270
       4.2000000      0.17939481      0.18959037       4.1954572       4.1944429     0.024181637
       4.4100000      0.17787996      0.18910607       4.4053389       4.4041651     0.026653613
       4.6200000      0.17629598      0.18859916       4.6152366       4.6138872     0.029246200
       4.8300000      0.17464359      0.18806979       4.8251510       4.8236094     0.031959403
       5.0400000      0.17292353      0.18751811       5.0350828       5.0333315     0.034793227
       5.2500000      0.17113659      0.18694428       5.2450328       5.2430537     0.037747677
       5.4600000      0.16928357      0.18634845       5.4550018       5.4527758     0.040822758
       5.6700000      0.16736531      0.18573081       5.6649905       5.6624979     0.044018475
       5.8800000      0.16538268      0.18509152       5.8749997       5.8722201     0.047334835
       6.0900000      0.16333659      0.18443077       6.0850302       6.0819422     0.050771843
       6.3000000      0.16122796      0.18374875       6.2950826       6.2916644     0.054329507
       6.5100000      0.15905775      0.18304565       6.5051578       6.5013865     0.058007834
       6.7200000      0.15682696      0.18232168       6.7152566       6.7111087     0.061806830
       6.9300000      0.15453661      0.18157704       6.9253796       6.9208308     0.065726505
       7.1400000      0.15218774      0.18081195       7.1355277       7.1305530     0.069766866
       7.3500000      0.14978143      0.18002662       7.3457016       7.3402751     0.073927921
       7.5600000      0.14731879      0.17922129       7.5559021       7.5499973     0.078209681
       7.7700000      0.14480095      0.17839619       7.7661299       7.7597194     0.082612157
       7.9800000      0.14222907      0.17755154       7.9763858       7.9694416     0.087135359
       8.1900000      0.13960434      0.17668761       8.1866705       8.1791637     0.091779295
       8.4000000      0.13692798      0.17580463       8.3969848       8.3888858     0.096543978
       8.6100000      0.13420121      0.17490286       8.6073295       8.5986080      0.10142942
       8.8200000      0.13142532      0.17398257       8.8177053       8.8083301      0.10643564
       9.0300000      0.12860159      0.17304402       9.0281131       9.0180523      0.11156264
       9.2400000      0.12573133      0.17208747       9.2385534       9.2277744      0.11681044
       9.4500000      0.12281588      0.17111322       9.4490272       9.4374966      0.12217906
       9.6600000      0.11985661      0.17012154       9.6595352       9.6472187      0.12766851
       9.8700000      0.11685490      0.16911272       9.8700781       9.8569409      0.13327880
       10.080000      0.11381216      0.16808706       10.080657       10.066663      0.13900996
       10.290000      0.11072982      0.16704485       10.291272       10.276385      0.14486201
       10.500000      0.10760932      0.16598639       10.501924       10.486107      0.15083495
       10.710000      0.10445214      0.16491200       10.712614       10.695829      0.15692882
       10.920000      0.10125976      0.16382199       10.923343       10.905552      0.16314363
       11.130000     0.098033692      0.16271668       11.134112       11.115274      0.16947940
       11.340000     0.094775462      0.16159639       11.344921       11.324996      0.17593617
       11.550000     0.091486614      0.16046145       11.555771       11.534718      0.18251394
       11.760000     0.088168702      0.15931219       11.766662       11.744440      0.18921275
