file,n_rows
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2021-085935_Example01P_LensData.csv,29
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2021-189311_Example08P_LensData.csv,18
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2021-189351_Example04P_LensData.csv,17
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2021-189377_Example01P_LensData.csv,25
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2022-030896_Example01P_LensData.csv,22
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\KR1020140184971_Example01P_LensData.csv,22
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\KR1020150147546_Example01P_LensData.csv,22
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\KR1020150155317_Example01P_LensData.csv,21
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\KR1020150182611_Example01P_LensData.csv,30
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\KR1020170053557_Example01P_LensData.csv,29
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\KR1020180065114_Example04P_LensData.csv,18
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\KR1020180084767_Example03P_LensData.csv,27
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\KR1020200129711_Example02P_LensData.csv,22
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\Note01Fig1_LensData.csv,15
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\Note01Fig3_LensData.csv,14
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\Note02Fig1_LensData.csv,15
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\Note02Fig2_LensData.csv,13
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\Note03Fig1_LensData.csv,15
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\Note05Fig1_LensData.csv,11
