File Name,Tan Shift,Sag Shift,Long_0.4861,Long_0.5876,Long_0.6563,Poly,RMS_0.4861,RMS_0.5876,RMS_0.6563,Rel. Ill,Effective F/#
JP1981-075613_Example01P_LensData_21.6_1.2_50,-0.062452556,-0.062452556,-0.062473646,-0.0027534662,0.05245656,12.245216,16.423612,11.109664,7.5283631,1.0,1.2529717
JP1981-159613_Example01P_LensData_21.6_2.8_300,0.16937646,0.16937646,0.16937726,0.038353551,0.25895567,1.4135693,1.6922596,0.23578013,1.7536246,1.0,2.9298491
JP1982-108817_Example01P_LensData_21.6_1.8_50,-0.073060443,-0.073060443,-0.073065452,-0.0003100949,0.06337015,1.0150929,1.5875716,0.70465957,0.2726029,1.0,1.8925072
JP1983-014810_Example03P_LensData_21.6_2.8_350,-0.41221984,-0.41221984,-0.41222205,-0.00440622,0.44670334,3.1889735,4.4472987,0.031532316,3.2755452,1.0,2.9290148
JP1985-040604_Example01P_LensData_21.6_1.2_50,-0.062452556,-0.062452556,-0.062473646,-0.0027534662,0.05245656,12.245216,16.423612,11.109664,7.5283631,1.0,1.2529717
JP1985-111215_ExampleMLP_LensData_21.6_1.7_50,-0.079630296,-0.079630296,-0.07964177,0.0036824585,0.072211161,2.9388965,4.3878815,2.388484,0.97620587,1.0,1.8181683
JP1986-090115_Example04P_LensData_20.57_4.5_105,0.19905987,0.19905987,0.19903166,-0.0025360952,0.041488684,0.61355905,0.16258237,0.83467068,0.63738211,1.0,4.718969
JP1987-244010_Example01P_LensData,-0.086536327,-0.086536327,-0.086547188,0.0044486824,0.09648422,3.2456532,5.0937112,2.3423994,0.4123902,1.0,1.4709212
JP1987-244010_Example02P_LensData,-0.083676429,-0.083676429,-0.083679121,0.0010896772,0.10497228,1.1171066,1.674202,0.77851249,0.57857324,1.0,2.0953508
JP1987-249119_Example04P_LensData_21.6_2.8_20,-0.02144289,-0.02144289,-0.021471152,0.0032535582,0.047467597,2.5138426,3.2981286,2.3146929,1.6500785,1.0,2.9099679
JP1988-017421_Example03P_LensData_21.6_2.8_15,-0.035823901,-0.035823901,-0.035832062,0.0034430527,0.054577659,0.82453529,1.1168035,0.79366855,0.4030081,1.0,2.9268969
JP1988-201614_Example04P_LensData,-0.087637255,-0.087637255,-0.087649568,-0.0036170954,0.062246408,,,,,1.0,2.0917649
JP1989-031113_Example05P_LensData_21.6_2.8_28,-0.45118302,-0.45118302,-0.45120085,-0.38360363,-0.32371529,4.9132836,5.8331352,4.7507864,3.978144,1.0,2.954696
JP1990-248910_Example01P_LensData_21.6_2.8_15,-0.069225286,-0.069225286,-0.06923516,-0.0044529379,0.058315371,1.3225947,1.5733464,1.3622066,0.9574675,1.0,2.9185912
