Y Angle (deg),Tan Shift,Sag Shift,Real Cosine,Ref. Cosine,Distortion,Wavelength
5.9402253,-6.9541496,-6.8943371,0.10322441,0.10301723,0.20111189,0.587562 µm.
6.1052315,-6.9573972,-6.8941483,0.10612554,0.10590030,0.21268749,0.587562 µm.
6.1052315,-6.9573972,-6.8941483,0.10612554,0.10590030,0.21268749,0.587562 µm.
6.2702378,-6.9607422,-6.8939548,0.10902949,0.10878515,0.22460855,0.587562 µm.
6.2702378,-6.9607422,-6.8939548,0.10902949,0.10878515,0.22460855,0.587562 µm.
6.4352440,-6.9641852,-6.8937566,0.11193635,0.11167182,0.23687752,0.587562 µm.
6.4352440,-6.9641852,-6.8937566,0.11193635,0.11167182,0.23687752,0.587562 µm.
6.6002503,-6.9677272,-6.8935537,0.11484620,0.11456037,0.24949692,0.587562 µm.
6.6002503,-6.9677272,-6.8935537,0.11484620,0.11456037,0.24949692,0.587562 µm.
6.7652565,-6.9713688,-6.8933462,0.11775912,0.11745085,0.26246935,0.587562 µm.
6.7652565,-6.9713688,-6.8933462,0.11775912,0.11745085,0.26246935,0.587562 µm.
6.9302628,-6.9751111,-6.8931341,0.12067520,0.12034330,0.27579752,0.587562 µm.
6.9302628,-6.9751111,-6.8931341,0.12067520,0.12034330,0.27579752,0.587562 µm.
7.0952691,-6.9789548,-6.8929176,0.12359453,0.12323777,0.28948423,0.587562 µm.
7.0952691,-6.9789548,-6.8929176,0.12359453,0.12323777,0.28948423,0.587562 µm.
