Basis,program,"image size (1/2 diag, mm)",f/#,efl (mm),notes
US003524697_Example01P,zemax,10.8,5.6,6,Nikon Fisheye-Nikkor 6mm f/5.6
US003536379_Example01P,zemax,21.6,6.3,800,Leica Telyt-S 800mm f/6.3
US003545845_Example01P,zemax,21.6,3.5,24,Ricoh smc Pentax 24mm F3.5
US003549241_Example02P,zemax,21.6,4,20,Nikon Nikkor 20mm f/4
US003552833 Example01P,zemax,21.6,2.8,60,Leica Macro-Elmarit-R 60mm F2.8
US003560079_Example01_Tale44,zemax,21.6,1.4,50,Nikon Nikkor-S Auto 50mm f/1.4
US003576360_Example01_Tale27,zemax,21.6,1.4,35,Nikon AI Nikkor 35mm f/1.4S
US003584935_Example01P,zemax,21.6,2.8,35,Konica Minolta Varifocal Hexanon AR 35-100mm F2.8
US003589798_EXAMPLE02P,zemax,21.6,2.8,16,Konica Minolta AF 16mm F2.8 FishEye
US003615126 Example01P,zemax,21.6,2.8,38,Konica Minolta Hexar 38mm F2.8
US003622227_Example01_Tale14,zemax,21.6,2.8,24,Nikon Nikkor-N Auto 24mm f/2.8
US003649104 Example03P,zemax,21.6,2,50,Leica Elcan 50mm F2
US003663095 Example02P,zemax,21.6,5.6,15,Nikon Nikkor-PD Auto 15mm f/5.6
US003731989_Example01P,zemax,21.6,2.8,35,Nikon Nikkor 35mm f/2.8
US003736049_Example01P,zemax,21.6,2,28,Nikon Nikkor-N Auto 28mm f/2
US003737214_Example01P,zemax,11.5,2.8,6,Nikon Fisheye-Nikkor 6mm f/2.8
US003738736_Example03P,zemax,21.6,1.2,50,Nikon Nikkor 50mm f/1.2
US003740120 Example03P,zemax,21.6,2.8,28,Leica Elmarit-R 28mm F2.8
US003743384_Example01P,zemax,21.6,11,360,Nikon AI Zoom-Nikkor 360-1200mm f/11 ED
US003748022 Example01P,zemax,21.6,2.8,35,Canon FD35mm f2
US003749478 Example02P,zemax,21.63,28,100,Olympus Zuiko Auto-T 100mm F2.8
US003774991_Example03P,zemax,43.45,8,800,Nikon pre-AI 800mm f/8 ED
US003804494 Example01P,zemax,21.63,5,200,Olympus Zuiko Auto-T 200mm F5
US003817603 Example01P,zemax,21.6,1.7,50,Ricoh smc Pentax-M 50mm F1.7
US003819253 Example01P,zemax,21.6,4.5,300,Olympus 300mm f4.5 F Zuiko Auto-T
US003827781 Example01P,zemax,21.6,5.4,600,Olympus 600mm f6.5 F Zuiko Auto-T
US003830559 Example01P,zemax,21.6,2,24,Olympus 24mm f2 J Zuiko Auto-W
US003838911 Example01P,zemax,21.6,3.5,135,Olympus 135mm f3.5 E Zuiko Auto-T
US003844640 Example01P,zemax,21.6,2,35,Olympus 35mm f2 H Zuiko Auto-W
US003848972_Example01P,zemax,21.6,4.5,85,Olympus F.Zuiko Auto-T 85mm
US003850509 Example01P,zemax,21.6,3.5,16,Olympus 16mm f3.5 Zuiko Auto-Fisheye
US003862794 Example02P,zemax,21.6,2.1,28,Olympus 28mm f2 I Zuiko Auto-W
US003864027 Example01P,zemax,21.6,6.4,400,Olympus 400mm f6.3 E Zuiko Auto-T
US003874770_Example01_Tale38,zemax,21,2.8,35,Nikon Nikkor 35mm f/2.8
US003874771 Example05P,zemax,21.6,1.4,50,Zeiss Planar T f1.4 50mm
US003883229 Example02P,zemax,39.95,5.6,250,Zeiss Sonnar Superachromat f5.6 250mm CFE
US003884556 Example03P,zemax,21.6,3.5,21,Olympus 21mm f3.5 G Zuiko Auto-W
US003884556 Example04P,zemax,21.6,2.8,24,Olympus 24mm f2.8 I Zuiko Auto-W
US003884557 Example01P,zemax,21.63,3.5,50,Olympus 50mm f3.5 Zuiko Auto-Macro
US003915558 Example08P,zemax,21,1.4,35,Zeiss Distagon T f1.4 35mm Contax
US003936153_EXAMPLE01P,zemax,21.6,2.8,35,Konica Minolta 35mm F2.8 MD
US003938883_Example01P,zemax,21.6,2.8,24,Ricoh smc Pentax 24mm F2.8
US003973832_EXAMPLE02P,zemax,21.6,2.8,28,Konica Minolta 28mm F2.8 MD
US003975089_Example01P,zemax,21.63,2.8,38,Vivitar Series 1 35-85mm f2.8
US003992085 Example01P,zemax,21.6,1.4,24,Canon FD24mm f1.4 SSC Aspherical
